Country,Year,Value
Australia,2014,522397.0907
Australia,2013,526882.6673
Australia,2012,537377.5715
Australia,2011,534089.7987
Australia,2010,533917.4363
Australia,2009,537889.8926
Australia,2008,533693.5082
Australia,2007,529842.8703
Australia,2006,522517.1917
Australia,2005,518850.7595
Australia,2004,511710.242
Australia,2003,495154.086
Australia,2002,494740.1008
Australia,2001,491441.6959
Australia,2000,483445.8267
Australia,1999,472245.9908
Australia,1998,466382.1125
Australia,1997,451721.7178
Australia,1996,439803.9622
Australia,1995,433478.6508
Australia,1994,424092.9594
Australia,1993,423764.9326
Australia,1992,423080.1082
Australia,1991,418674.0575
Australia,1990,418623.0496
