Country,Year,Value
France,2014,341152.5315
France,2013,369985.5945
France,2012,370491.1537
France,2011,368183.4384
France,2010,394235.6741
France,2009,383957.6243
France,2008,401878.8647
France,2007,408508.5899
France,2006,417662.6789
France,2005,428557.6102
France,2004,423168.6361
France,2003,422312.8845
France,2002,413569.2479
France,2001,417864.7056
France,2000,417116.5447
France,1999,420506.322
France,1998,429051.4999
France,1997,407475.1118
France,1996,414013.0701
France,1995,401571.2255
France,1994,394536.9624
France,1993,394334.8338
France,1992,414955.0768
France,1991,425042.9207
France,1990,400652.624
