Country,Year,Value
Germany,2014,901763.9388
Germany,2013,945150.948
Germany,2012,926338.3616
Germany,2011,921829.7435
Germany,2010,941038.6912
Germany,2009,906423.0287
Germany,2008,973942.1713
Germany,2007,971998.3262
Germany,2006,999043.9004
Germany,2005,991848.6871
Germany,2004,1017294.03
Germany,2003,1033727.656
Germany,2002,1036942.439
Germany,2001,1058070.103
Germany,2000,1043294.434
Germany,1999,1045419.709
Germany,1998,1078643.502
Germany,1997,1104243.754
Germany,1996,1138767.658
Germany,1995,1120943.905
Germany,1994,1124257.533
Germany,1993,1143674.902
Germany,1992,1152900.328
Germany,1991,1203219.256
Germany,1990,1249828.649
