Country,Year,Value
Ireland,2014,36559.06858
Ireland,2013,37049.42383
Ireland,2012,38031.61872
Ireland,2011,37895.19543
Ireland,2010,41558.27509
Ireland,2009,41996.32468
Ireland,2008,47175.54027
Ireland,2007,47493.12668
Ireland,2006,47405.96673
Ireland,2005,47952.20439
Ireland,2004,46042.40225
Ireland,2003,45554.32252
Ireland,2002,45952.73017
Ireland,2001,47482.72078
Ireland,2000,45123.33544
Ireland,1999,42302.08786
Ireland,1998,40572.17586
Ireland,1997,38675.59402
Ireland,1996,37335.10811
Ireland,1995,35718.74856
Ireland,1994,34696.48573
Ireland,1993,33574.97174
Ireland,1992,33344.10238
Ireland,1991,33508.44202
Ireland,1990,32768.52676
