Country,Year,Value
Japan,2014,1363862.305
Japan,2013,1407883.226
Japan,2012,1390339.973
Japan,2011,1354616.007
Japan,2010,1304902.642
Japan,2009,1251003.584
Japan,2008,1327168.529
Japan,2007,1412795.074
Japan,2006,1377861.939
Japan,2005,1397101.819
Japan,2004,1389593.188
Japan,2003,1392702.146
Japan,2002,1390331.141
Japan,2001,1358715.508
Japan,2000,1386713.844
Japan,1999,1367886.089
Japan,1998,1345840.238
Japan,1997,1389906.994
Japan,1996,1393109.438
Japan,1995,1379924.544
Japan,1994,1358267.678
Japan,1993,1285876.655
Japan,1992,1294404.603
Japan,1991,1280937.699
Japan,1990,1270742.948
