Country,Year,Value
Italy,2014,418587.2149
Italy,2013,438887.3696
Italy,2012,468717.9158
Italy,2011,494789.5846
Italy,2010,508424.0983
Italy,2009,498894.6551
Italy,2008,549452.7291
Italy,2007,561137.5861
Italy,2006,569054.8046
Italy,2005,578904.4403
Italy,2004,580725.5802
Italy,2003,578126.3683
Italy,2002,561887.9524
Italy,2001,561600.3276
Italy,2000,554479.2897
Italy,1999,549495.2305
Italy,1998,543800.4302
Italy,1997,532739.9304
Italy,1996,526825.5357
Italy,1995,533449.7686
Italy,1994,505566.5387
Italy,1993,513611.6183
Italy,1992,519982.7784
Italy,1991,523489.8088
Italy,1990,521920.6005
